corpus_unit_id,passage_text,plant_name,chemical_name,text,label
1,The calcium contents were the highest in the papaya.,papaya,calcium,Relation of papaya and calcium on The calcium contents were the highest in the papaya.,Positive
2,"Milk yield was not affected by nonstructural carbohydrate source, but milk production was increased by 7.8 to 10.5% with dietary additions of extruded soybeans.",soybeans,carbohydrate,"Relation of soybeans and carbohydrate on Milk yield was not affected by nonstructural carbohydrate source, but milk production was increased by 7.8 to 10.5% with dietary additions of extruded soybeans.",Negative
3,"Whilst Trametes versicolor inocula produced on wheat straw and SCS (sawdust-corn meal-starch-mix) gave the highest chloride release, colonization of these two substrates as measured by biological potential was lower compared to the pomace and pomace-sawdust-mix.",wheat,chloride,"Relation of wheat and chloride on Whilst Trametes versicolor inocula produced on wheat straw and SCS (sawdust-corn meal-starch-mix) gave the highest chloride release, colonization of these two substrates as measured by biological potential was lower compared to the pomace and pomace-sawdust-mix.",Negative
4,"Ripening of pears was also accelerated by the application of solutions containing indoleacetic acid-oxidation products, obtained by an overnight incubation of 0.1 and 1 mm indoleacetic acid with traces of H(2)O(2) and horseradish peroxidase.",pears,indoleacetic acid,"Relation of pears and indoleacetic acid on Ripening of pears was also accelerated by the application of solutions containing indoleacetic acid-oxidation products, obtained by an overnight incubation of 0.1 and 1 mm indoleacetic acid with traces of H(2)O(2) and horseradish peroxidase.",Negative
5,"Ripening of pears was also accelerated by the application of solutions containing indoleacetic acid-oxidation products, obtained by an overnight incubation of 0.1 and 1 mm indoleacetic acid with traces of H(2)O(2) and horseradish peroxidase.",pears,H(2)O(2),"Relation of pears and H(2)O(2) on Ripening of pears was also accelerated by the application of solutions containing indoleacetic acid-oxidation products, obtained by an overnight incubation of 0.1 and 1 mm indoleacetic acid with traces of H(2)O(2) and horseradish peroxidase.",Negative
6,"The impacts of nitrogen deposition on a typical acidified soil under a masson pine (Pinus massoniana) forest at Tieshanping, Chongqing in Southwest China was studied through field experiments.",masson pine,nitrogen,"Relation of masson pine and nitrogen on The impacts of nitrogen deposition on a typical acidified soil under a masson pine (Pinus massoniana) forest at Tieshanping, Chongqing in Southwest China was studied through field experiments.",Negative
7,"The impacts of nitrogen deposition on a typical acidified soil under a masson pine (Pinus massoniana) forest at Tieshanping, Chongqing in Southwest China was studied through field experiments.",Pinus massoniana,nitrogen,"Relation of Pinus massoniana and nitrogen on The impacts of nitrogen deposition on a typical acidified soil under a masson pine (Pinus massoniana) forest at Tieshanping, Chongqing in Southwest China was studied through field experiments.",Negative
8,"The present work was undertaken to study the metabolic response of mouse spleen lymphocytes to physiologically relevant doses of delta9-tetrahydrocannabinol (THC), the major active component of marijuana.",marijuana,delta9-tetrahydrocannabinol,"Relation of marijuana and delta9-tetrahydrocannabinol on The present work was undertaken to study the metabolic response of mouse spleen lymphocytes to physiologically relevant doses of delta9-tetrahydrocannabinol (THC), the major active component of marijuana.",Positive
9,"The present work was undertaken to study the metabolic response of mouse spleen lymphocytes to physiologically relevant doses of delta9-tetrahydrocannabinol (THC), the major active component of marijuana.",marijuana,THC,"Relation of marijuana and THC on The present work was undertaken to study the metabolic response of mouse spleen lymphocytes to physiologically relevant doses of delta9-tetrahydrocannabinol (THC), the major active component of marijuana.",Positive
10,The developed method was applied for the determination of chlorogenic acid in mate tea extracts obtained by ethanol extraction and liquid carbon dioxide extraction with ethanol as co-solvent.,mate,chlorogenic acid,Relation of mate and chlorogenic acid on The developed method was applied for the determination of chlorogenic acid in mate tea extracts obtained by ethanol extraction and liquid carbon dioxide extraction with ethanol as co-solvent.,Positive
11,The developed method was applied for the determination of chlorogenic acid in mate tea extracts obtained by ethanol extraction and liquid carbon dioxide extraction with ethanol as co-solvent.,mate,ethanol,Relation of mate and ethanol on The developed method was applied for the determination of chlorogenic acid in mate tea extracts obtained by ethanol extraction and liquid carbon dioxide extraction with ethanol as co-solvent.,Negative
